,leaning,abortion,gunrights,taxwaste,riotsolution,govservices,healthservices
6427,1,2,3,2,1,7,1
7410,1,4,1,2,1,7,1
258,1,4,1,1,2,7,1
968,1,4,1,2,2,5,1
2891,1,4,1,3,1,7,1
2453,1,4,1,1,1,5,3
5804,1,4,1,1,1,6,1
7476,1,4,1,2,1,7,1
746,1,4,1,1,1,7,1
4699,1,4,1,1,1,7,1
7772,1,1,1,1,1,7,1
2309,1,4,1,1,1,7,1
3194,1,4,2,1,5,4,3
2150,1,4,1,1,2,6,1
4048,1,4,1,2,1,7,1
7325,1,4,1,1,1,7,1
3248,1,4,1,1,1,7,2
2144,1,4,1,2,1,6,1
3765,1,4,1,2,1,5,1
5833,1,4,1,1,1,6,1
1129,1,4,1,1,1,6,1
5415,1,4,1,1,1,7,1
577,1,4,1,1,1,7,1
2999,1,4,1,1,1,5,1
8270,1,2,3,3,2,4,3
4846,1,4,1,2,1,6,1
6508,1,4,1,1,1,5,1
5038,1,4,1,1,1,7,1
5269,1,4,1,2,1,6,1
1260,1,4,1,1,1,7,1
8092,1,4,1,1,3,6,1
38,1,4,1,1,1,7,1
2245,1,4,1,2,1,7,1
411,1,4,2,1,1,4,1
4674,1,4,3,1,1,7,1
7101,1,4,1,1,1,7,1
2917,1,4,1,2,2,7,1
5827,1,4,1,1,1,7,1
3054,1,4,1,1,1,7,1
5572,1,4,1,2,1,6,1
2631,1,4,1,1,1,7,1
3748,1,2,1,2,1,7,1
3673,1,4,1,2,1,7,1
5426,1,4,3,2,1,7,1
5512,1,4,1,1,1,7,1
3336,1,4,1,2,1,7,1
4660,1,4,1,2,1,7,1
3547,1,4,1,1,1,7,1
3605,1,4,1,1,1,7,3
7481,1,4,1,1,1,6,2
6122,1,4,1,1,1,5,1
4871,1,4,1,1,2,6,1
3071,1,4,1,2,1,6,1
4397,1,4,1,2,1,7,1
7659,1,4,1,3,1,7,1
2774,1,4,1,2,1,7,1
2112,1,4,1,2,1,7,1
6269,1,4,1,1,3,3,1
4104,1,4,1,3,2,7,1
2954,1,4,1,1,2,7,1
1132,1,4,1,1,1,7,1
3542,1,4,2,2,1,7,1
855,1,4,3,1,2,6,1
4650,1,4,1,1,1,7,1
2504,1,4,1,2,1,6,1
6606,1,4,1,1,1,5,1
7323,1,4,1,3,1,7,1
2276,1,4,1,1,1,6,1
4627,1,4,1,1,1,7,1
2081,1,4,1,2,1,7,1
1166,1,4,1,1,1,7,1
5816,1,4,3,1,1,7,1
3683,1,4,1,1,1,7,1
6622,1,4,1,3,1,7,1
7061,1,2,3,2,4,4,1
3955,1,4,1,3,1,6,1
8042,1,4,1,1,1,7,1
563,1,4,1,2,1,7,1
7330,1,4,1,1,1,7,1
3327,1,4,1,2,1,7,1
7254,1,4,1,2,1,7,1
5963,1,4,1,1,1,7,1
3205,1,1,1,1,1,7,3
1740,1,4,3,1,1,5,1
3235,1,4,1,2,1,7,1
194,1,4,1,1,1,7,1
5936,1,4,3,1,1,6,1
901,1,4,1,1,1,7,1
1197,1,4,1,1,1,7,3
7707,1,4,1,1,1,7,1
721,1,4,3,2,7,5,1
2505,1,4,1,2,2,7,1
2257,1,4,3,1,1,7,1
3987,1,4,1,1,1,7,1
1141,1,4,1,1,1,7,1
771,1,4,1,1,1,7,1
6939,1,4,1,2,2,5,1
8249,1,4,1,1,1,7,1
6730,1,4,1,1,1,7,1
2792,1,4,1,2,1,7,2
